

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
122.193  000.417  000.417: require('lspconfig.configs')
122.519  000.324  000.324: require('lspconfig.server_configurations.omnisharp')
122.932  000.253  000.253: require('mason-lspconfig.ensure_installed')
123.957  000.314  000.314: require('mason-core.result')
125.071  000.408  000.408: require('mason-core.process')
125.184  000.821  000.413: require('mason-core.spawn')
125.499  000.312  000.312: require('mason-core.receipt')
125.823  000.315  000.315: require('mason-core.functional.string')
125.836  001.876  000.428: require('mason-core.installer.context')
126.118  000.280  000.280: require('mason-core.installer.linker')
126.394  000.274  000.274: require('mason-core.async.control')
126.400  003.112  000.367: require('mason-core.installer')
126.758  000.356  000.356: require('mason-core.installer.handle')
128.377  000.444  000.444: require('mason-core.managers.powershell')
128.381  000.747  000.303: require('mason-core.fetch')
128.382  000.988  000.241: require('mason-core.managers.cargo.client')
129.083  000.348  000.348: require('mason-core.managers.std')
129.660  000.274  000.274: require('mason-core.providers')
129.673  000.589  000.315: require('mason-core.managers.github.client')
129.678  001.294  000.358: require('mason-core.managers.github')
129.742  002.703  000.421: require('mason-core.managers.cargo')
130.134  000.390  000.390: require('mason-core.managers.composer')
130.493  000.357  000.357: require('mason-core.managers.gem')
130.784  000.288  000.288: require('mason-core.managers.git')
131.140  000.354  000.354: require('mason-core.managers.go')
131.483  000.341  000.341: require('mason-core.managers.luarocks')
131.824  000.338  000.338: require('mason-core.managers.npm')
132.190  000.364  000.364: require('mason-core.managers.pip3')
132.201  005.441  000.305: require('mason-core.package.version-check')
132.208  009.274  000.366: require('mason-core.package')
132.567  000.307  000.307: require('mason-registry.lua-language-server')
133.208  000.245  000.245: require('mason-core.functional.number')
133.229  000.591  000.346: require('mason-lspconfig.api.command')
133.575  000.293  000.293: require('lspconfig')
133.898  000.320  000.320: require('lspconfig.server_configurations.sumneko_lua')
135.466  000.278  000.278: require('fidget.log')
135.473  000.701  000.422: require('fidget')
135.719  000.232  000.232: require('fidget.spinners')
137.010  000.263  000.263: require('cmp.utils.debug')
137.658  000.319  000.319: require('cmp.utils.char')
137.664  000.652  000.332: require('cmp.utils.str')
137.929  000.264  000.264: require('cmp.utils.pattern')
138.964  000.355  000.355: require('cmp.utils.misc')
139.231  000.265  000.265: require('cmp.utils.buffer')
139.526  000.292  000.292: require('cmp.utils.api')
139.531  001.308  000.396: require('cmp.utils.keymap')
139.534  001.603  000.295: require('cmp.utils.feedkeys')
139.857  000.322  000.322: require('cmp.utils.async')
140.791  000.277  000.277: require('cmp.types.cmp')
141.164  000.371  000.371: require('cmp.types.lsp')
141.416  000.249  000.249: require('cmp.types.vim')
141.418  001.191  000.294: require('cmp.types')
141.683  000.264  000.264: require('cmp.utils.cache')
141.686  001.828  000.372: require('cmp.context')
142.825  000.335  000.335: require('cmp.config.mapping')
143.512  000.381  000.381: require('cmp.config.compare')
143.515  000.686  000.306: require('cmp.config.default')
143.524  001.398  000.376: require('cmp.config')
144.441  000.364  000.364: require('cmp.matcher')
144.446  000.920  000.556: require('cmp.entry')
144.450  002.763  000.445: require('cmp.source')
145.128  000.268  000.268: require('cmp.utils.event')
145.884  000.429  000.429: require('cmp.utils.window')
145.887  000.757  000.328: require('cmp.view.docs_view')
146.749  000.292  000.292: require('cmp.utils.autocmd')
146.759  000.871  000.579: require('cmp.view.custom_entries_view')
147.207  000.446  000.446: require('cmp.view.wildmenu_entries_view')
147.596  000.387  000.387: require('cmp.view.native_entries_view')
147.927  000.328  000.328: require('cmp.view.ghost_text_view')
147.935  003.483  000.426: require('cmp.view')
148.072  011.881  000.705: require('cmp.core')
148.423  000.271  000.271: require('cmp.config.sources')
148.688  000.262  000.262: require('cmp.config.window')
148.738  012.986  000.572: require('cmp')
150.673  000.221  000.221: require('luasnip.session')
151.196  000.521  000.521: require('luasnip.util.util')
151.416  000.218  000.218: require('luasnip.util.types')
151.965  000.267  000.267: require('luasnip.util.ext_opts')
151.968  000.549  000.283: require('luasnip.nodes.util')
152.182  000.213  000.213: require('luasnip.util.events')
152.194  002.115  000.392: require('luasnip.nodes.node')
152.776  000.238  000.238: require('luasnip.util.extend_decorator')
152.783  000.588  000.349: require('luasnip.nodes.insertNode')
153.031  000.246  000.246: require('luasnip.nodes.textNode')
153.316  000.283  000.283: require('luasnip.util.mark')
154.139  000.529  000.529: require('luasnip.util._builtin_vars')
154.310  000.992  000.464: require('luasnip.util.environ')
154.586  000.273  000.273: require('luasnip.util.pattern_tokenizer')
154.824  000.236  000.236: require('luasnip.util.dict')
155.176  000.350  000.350: require('luasnip.session.snippet_collection')
155.244  005.916  000.834: require('luasnip.nodes.snippet')
155.754  000.222  000.222: require('luasnip.loaders._caches')
156.050  000.294  000.294: require('luasnip.util.path')
156.064  000.818  000.302: require('luasnip.loaders')
156.392  000.323  000.323: require('luasnip.util.log')
156.713  000.309  000.309: require('luasnip.nodes.functionNode')
157.129  000.414  000.414: require('luasnip.nodes.choiceNode')
157.568  000.436  000.436: require('luasnip.nodes.dynamicNode')
157.931  000.361  000.361: require('luasnip.nodes.restoreNode')
158.926  000.286  000.286: require('luasnip.util.parser.neovim_ast')
160.120  000.255  000.255: require('luasnip.util.directed_graph')
160.147  001.926  001.385: require('luasnip.util.parser.ast_utils')
160.720  000.223  000.223: require('luasnip.util.functions')
160.727  000.578  000.355: require('luasnip.util.parser.ast_parser')
161.171  000.443  000.443: require('luasnip.util.parser.neovim_parser')
161.428  000.254  000.254: require('luasnip.util.str')
161.435  003.501  000.300: require('luasnip.util.parser')
161.992  000.243  000.243: require('luasnip.extras.filetype_functions')
162.217  000.210  000.210: require('luasnip.nodes.absolute_indexer')
162.522  000.303  000.303: require('luasnip.extras')
162.820  000.296  000.296: require('luasnip.extras.fmt')
163.433  000.219  000.219: require('luasnip.extras.conditions')
163.633  000.198  000.198: require('luasnip.extras.conditions.show')
163.686  000.672  000.254: require('luasnip.extras.conditions.expand')
163.688  000.866  000.194: require('luasnip.extras.expand_conditions')
163.932  000.243  000.243: require('luasnip.extras.postfix')
164.151  002.714  000.554: require('luasnip.config')
164.154  015.414  000.622: require('luasnip')
164.693  142.934  018.893: sourcing /Users/dblanken/.config/nvim/init.lua
164.719  003.748: sourcing vimrc file(s)
165.745  000.013  000.013: sourcing /Users/dblanken/.local/share/nvim/site/pack/packer/start/LuaSnip/ftdetect/snippets.vim
165.996  000.013  000.013: sourcing /Users/dblanken/.local/share/nvim/site/pack/packer/start/vim-fugitive/ftdetect/fugitive.vim
166.379  001.215  001.190: sourcing /usr/local/Cellar/neovim/0.8.2/share/nvim/runtime/filetype.lua
166.468  000.015  000.015: sourcing /usr/local/Cellar/neovim/0.8.2/share/nvim/runtime/filetype.vim
166.927  000.070  000.070: sourcing /usr/local/Cellar/neovim/0.8.2/share/nvim/runtime/syntax/synload.vim
167.046  000.463  000.393: sourcing /usr/local/Cellar/neovim/0.8.2/share/nvim/runtime/syntax/syntax.vim
169.896  000.127  000.127: sourcing /usr/local/Cellar/neovim/0.8.2/share/nvim/runtime/plugin/gzip.vim
169.970  000.011  000.011: sourcing /usr/local/Cellar/neovim/0.8.2/share/nvim/runtime/plugin/health.vim
170.935  000.144  000.144: sourcing /usr/local/Cellar/neovim/0.8.2/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
171.119  001.090  000.946: sourcing /usr/local/Cellar/neovim/0.8.2/share/nvim/runtime/plugin/matchit.vim
171.298  000.116  000.116: sourcing /usr/local/Cellar/neovim/0.8.2/share/nvim/runtime/plugin/matchparen.vim
171.599  000.237  000.237: sourcing /usr/local/Cellar/neovim/0.8.2/share/nvim/runtime/plugin/netrwPlugin.vim
171.886  000.010  000.010: sourcing /Users/dblanken/.local/share/nvim/rplugin.vim
171.893  000.220  000.210: sourcing /usr/local/Cellar/neovim/0.8.2/share/nvim/runtime/plugin/rplugin.vim
172.012  000.055  000.055: sourcing /usr/local/Cellar/neovim/0.8.2/share/nvim/runtime/plugin/shada.vim
172.103  000.021  000.021: sourcing /usr/local/Cellar/neovim/0.8.2/share/nvim/runtime/plugin/spellfile.vim
172.253  000.083  000.083: sourcing /usr/local/Cellar/neovim/0.8.2/share/nvim/runtime/plugin/tarPlugin.vim
172.409  000.084  000.084: sourcing /usr/local/Cellar/neovim/0.8.2/share/nvim/runtime/plugin/tohtml.vim
172.495  000.019  000.019: sourcing /usr/local/Cellar/neovim/0.8.2/share/nvim/runtime/plugin/tutor.vim
172.679  000.115  000.115: sourcing /usr/local/Cellar/neovim/0.8.2/share/nvim/runtime/plugin/zipPlugin.vim
176.916  003.226  003.226: require('packer.load')
181.320  000.306  000.306: require('nvim-treesitter.statusline')
181.690  000.369  000.369: require('nvim-treesitter.query_predicates')
181.693  003.511  002.837: require('nvim-treesitter')
182.134  003.992  000.481: sourcing /Users/dblanken/.dotfiles/git/.local/share/nvim/site/pack/packer/start/nvim-treesitter/plugin/nvim-treesitter.lua
186.135  003.065  003.065: require('nvim-treesitter-textobjects')
187.471  000.545  000.545: require('nvim-treesitter.textobjects.shared')
187.475  001.029  000.484: require('nvim-treesitter.textobjects.select')
188.433  000.455  000.455: require('nvim-treesitter.textobjects.attach')
188.442  000.934  000.478: require('nvim-treesitter.textobjects.move')
188.912  000.424  000.424: require('nvim-treesitter.textobjects.swap')
189.456  000.488  000.488: require('nvim-treesitter.textobjects.lsp_interop')
189.470  006.415  000.476: sourcing /Users/dblanken/.dotfiles/git/.local/share/nvim/site/pack/packer/opt/nvim-treesitter-textobjects/plugin/nvim-treesitter-textobjects.vim
189.783  016.853  003.220: sourcing /Users/dblanken/.config/nvim/plugin/packer_compiled.lua
190.471  000.088  000.088: sourcing /usr/local/Cellar/neovim/0.8.2/share/nvim/runtime/plugin/man.lua
190.506  004.975: loading rtp plugins
192.042  000.353  000.353: sourcing /Users/dblanken/.dotfiles/git/.local/share/nvim/site/pack/packer/start/Comment.nvim/plugin/Comment.lua
192.843  000.232  000.232: require('indent_blankline.commands')
192.898  000.411  000.180: sourcing /Users/dblanken/.dotfiles/git/.local/share/nvim/site/pack/packer/start/indent-blankline.nvim/plugin/indent_blankline.vim
193.554  000.144  000.144: sourcing /Users/dblanken/.dotfiles/git/.local/share/nvim/site/pack/packer/start/LuaSnip/plugin/luasnip.vim
194.685  000.291  000.291: require('cmp.utils.highlight')
195.046  000.787  000.495: sourcing /Users/dblanken/.dotfiles/git/.local/share/nvim/site/pack/packer/start/nvim-cmp/plugin/cmp.lua
195.696  000.295  000.295: sourcing /Users/dblanken/.dotfiles/git/.local/share/nvim/site/pack/packer/start/nvim-lspconfig/plugin/lspconfig.lua
196.161  000.059  000.059: sourcing /Users/dblanken/.dotfiles/git/.local/share/nvim/site/pack/packer/start/nvim-treesitter/plugin/nvim-treesitter.lua
196.608  000.028  000.028: sourcing /Users/dblanken/.dotfiles/git/.local/share/nvim/site/pack/packer/start/plenary.nvim/plugin/plenary.vim
197.377  000.343  000.343: sourcing /Users/dblanken/.dotfiles/git/.local/share/nvim/site/pack/packer/start/telescope.nvim/plugin/telescope.lua
198.388  000.751  000.751: sourcing /Users/dblanken/.dotfiles/git/.local/share/nvim/site/pack/packer/start/vim-fugitive/plugin/fugitive.vim
198.821  000.072  000.072: sourcing /Users/dblanken/.dotfiles/git/.local/share/nvim/site/pack/packer/start/vim-rhubarb/plugin/rhubarb.vim
199.541  000.302  000.302: sourcing /Users/dblanken/.dotfiles/git/.local/share/nvim/site/pack/packer/start/vim-sleuth/plugin/sleuth.vim
199.841  005.790: loading packages
200.346  000.040  000.040: sourcing /Users/dblanken/.local/share/nvim/site/pack/packer/start/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
200.900  000.270  000.270: require('cmp_luasnip')
200.986  000.403  000.133: sourcing /Users/dblanken/.local/share/nvim/site/pack/packer/start/cmp_luasnip/after/plugin/cmp_luasnip.lua
200.991  000.706: loading after plugins
200.998  000.007: inits 3
204.392  003.394: reading ShaDa
205.471  000.280  000.280: require('luasnip.loaders.util')
205.476  000.573  000.293: require('luasnip.loaders.from_lua')
206.056  000.232  000.232: require('luasnip.nodes.snippetProxy')
206.061  000.551  000.319: require('luasnip.loaders.from_snipmate')
206.407  000.326  000.326: require('luasnip.loaders.from_vscode')
206.482  000.641: opening buffers
206.598  000.115: BufEnter autocommands
206.600  000.002: editing files in windows
206.908  000.267  000.267: require('mason-core.terminator')
225.361  000.715  000.715: require('gitsigns.current_line_blame')
